Pk,Tm,Player,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
,,,,,,,,,,,,,,,,,,,
1,LAC,Blake Griffin,12,724,23815,14343,5954,2994,.493,.327,.696,32.9,19.8,8.2,4.1,79.3,.160,3.4,32.5
2,MEM,Hasheem Thabeet,5,224,2357,483,595,27,.567,,.578,10.5,2.2,2.7,0.1,4.8,.099,-2.7,-0.4
3,OKC,James Harden,13,942,32617,23477,5294,6397,.442,.361,.860,34.6,24.9,5.6,6.8,149.6,.220,6.8,72.0
4,SAC,Tyreke Evans,10,594,18242,9347,2720,2852,.440,.323,.757,30.7,15.7,4.6,4.8,28.4,.075,0.8,13.1
5,MIN,Ricky Rubio,11,665,20128,7399,2760,5045,.389,.326,.843,30.3,11.1,4.2,7.6,41.6,.099,0.6,13.4
6,MIN,Jonny Flynn,3,163,3738,1504,307,634,.400,.338,.809,22.9,9.2,1.9,3.9,-1.1,-.015,-4.0,-1.9
7,GSW,Stephen Curry,13,826,28361,20064,3838,5388,.473,.428,.908,34.3,24.3,4.6,6.5,120.2,.203,6.5,60.9
8,NYK,Jordan Hill,8,409,7692,3232,2389,322,.497,.136,.699,18.8,7.9,5.8,0.8,16.4,.102,-2.0,0.0
9,TOR,DeMar DeRozan,13,957,32789,19869,4227,3729,.465,.288,.837,34.3,20.8,4.4,3.9,83.7,.123,0.7,22.6
10,MIL,Brandon Jennings,9,555,16844,7801,1659,3151,.387,.345,.796,30.3,14.1,3.0,5.7,29.9,.085,0.8,11.8
11,NJN,Terrence Williams,4,153,2922,1085,545,364,.412,.317,.659,19.1,7.1,3.6,2.4,-0.2,-.004,-2.8,-0.6
12,CHA,Gerald Henderson,8,535,13854,5987,1716,1009,.440,.327,.793,25.9,11.2,3.2,1.9,18.3,.063,-1.8,0.6
13,IND,Tyler Hansbrough,7,428,7233,2881,1808,181,.439,.136,.738,16.9,6.7,4.2,0.4,20.2,.134,-2.0,0.0
14,PHO,Earl Clark,6,261,3630,1138,778,134,.403,.328,.664,13.9,4.4,3.0,0.5,2.9,.038,-2.8,-0.8
15,DET,Austin Daye,6,293,4132,1522,764,212,.402,.351,.778,14.1,5.2,2.6,0.7,4.5,.053,-2.0,0.0
16,CHI,James Johnson,13,747,15315,5763,2676,1583,.474,.302,.679,20.5,7.7,3.6,2.1,27.5,.086,0.5,9.5
17,PHI,Jrue Holiday,13,839,27817,13586,3361,5373,.460,.363,.776,33.2,16.2,4.0,6.4,56.4,.097,1.5,24.6
18,MIN,Ty Lawson,8,551,16088,6977,1506,3316,.460,.359,.770,29.2,12.7,2.7,6.0,42.1,.126,1.4,13.6
19,ATL,Jeff Teague,12,826,22164,10061,1989,4585,.444,.360,.844,26.8,12.2,2.4,5.6,52.4,.113,0.6,14.3
20,UTA,Eric Maynor,5,267,3896,1141,348,760,.392,.350,.721,14.6,4.3,1.3,2.8,3.3,.041,-2.9,-0.8
21,NOH,Darren Collison,11,711,20833,8861,1889,3545,.471,.394,.853,29.3,12.5,2.7,5.0,49.9,.115,0.5,13.4
22,POR,Victor Claver,3,80,1072,258,178,56,.398,.293,.585,13.4,3.2,2.2,0.7,0.2,.011,-3.6,-0.4
23,SAC,Omri Casspi,10,588,11959,4642,2355,662,.454,.368,.678,20.3,7.9,4.0,1.1,19.6,.078,-0.8,3.5
24,DAL,Byron Mullens,5,189,3446,1398,790,153,.408,.319,.706,18.2,7.4,4.2,0.8,0.6,.008,-4.0,-1.8
25,OKC,Rodrigue Beaubois,4,182,2896,1286,338,374,.439,.325,.810,15.9,7.1,1.9,2.1,4.8,.079,-0.1,1.4
26,CHI,Taj Gibson,13,896,21976,8088,5477,880,.518,.257,.713,24.5,9.0,6.1,1.0,58.9,.129,-0.7,7.1
27,MEM,DeMarre Carroll,11,578,13675,5150,2454,726,.430,.358,.741,23.7,8.9,4.2,1.3,29.5,.104,0.0,6.7
28,MIN,Wayne Ellington,13,770,16100,6190,1643,852,.410,.382,.843,20.9,8.0,2.1,1.1,21.1,.063,-1.5,2.2
29,LAL,Toney Douglas,8,394,7511,3009,875,889,.404,.354,.824,19.1,7.6,2.2,2.3,12.1,.077,-0.8,2.2
30,CLE,Christian Eyenga,2,51,1049,320,137,40,.411,.277,.611,20.6,6.3,2.7,0.8,-0.4,-.020,-4.2,-0.6
