Pk,Tm,Player,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
,,,,,,,,,,,,,,,,,,,
1,CLE,Anthony Bennett,4,151,1905,658,472,77,.392,.261,.670,12.6,4.4,3.1,0.5,0.5,.013,-4.8,-1.3
2,ORL,Victor Oladipo,9,462,15141,8054,2117,1824,.438,.348,.790,32.8,17.4,4.6,3.9,25.1,.080,0.9,11.0
3,WAS,Otto Porter Jr.,9,504,13080,5336,2551,767,.477,.398,.794,26.0,10.6,5.1,1.5,36.0,.132,1.8,12.5
4,CHA,Cody Zeller,9,494,10973,4202,2949,691,.520,.221,.731,22.2,8.5,6.0,1.4,32.1,.140,-0.6,4.0
5,PHO,Alex Len,9,570,10769,4371,3341,489,.507,.329,.683,18.9,7.7,5.9,0.9,21.6,.096,-1.9,0.2
6,NOH,Nerlens Noel,8,450,10086,3303,2789,491,.549,.154,.655,22.4,7.3,6.2,1.1,28.3,.134,0.9,7.5
7,SAC,Ben McLemore,9,556,12534,5015,1269,563,.414,.363,.780,22.5,9.0,2.3,1.0,9.0,.035,-3.1,-3.4
8,DET,Kentavious Caldwell-Pope,9,683,19974,7911,2148,1150,.421,.360,.813,29.2,11.6,3.1,1.7,34.6,.083,-0.8,6.0
9,MIN,Trey Burke,9,498,10401,4792,878,1522,.410,.345,.810,20.9,9.6,1.8,3.1,12.9,.060,-1.3,1.7
10,POR,CJ McCollum,9,590,18624,11341,2041,2044,.455,.396,.810,31.6,19.2,3.5,3.5,40.3,.104,1.3,15.7
11,PHI,Michael Carter-Williams,8,391,9898,4023,1713,1701,.402,.255,.706,25.3,10.3,4.4,4.4,6.6,.032,-1.2,1.9
12,OKC,Steven Adams,9,664,17811,6157,5303,982,.587,.071,.547,26.8,9.3,8.0,1.5,56.0,.151,0.5,11.3
13,DAL,Kelly Olynyk,9,610,13408,6146,3087,1248,.476,.365,.782,22.0,10.1,5.1,2.0,35.3,.126,0.9,9.8
14,UTA,Shabazz Muhammad,5,278,4772,2504,770,151,.473,.319,.751,17.2,9.0,2.8,0.5,8.5,.085,-2.0,0.0
15,MIL,Giannis Antetokounmpo,9,656,21354,14321,6149,3020,.535,.288,.718,32.6,21.8,9.4,4.6,87.5,.197,6.0,43.3
16,BOS,Lucas Nogueira,4,141,1754,446,388,72,.632,.265,.640,12.4,3.2,2.8,0.5,6.0,.165,2.3,1.9
17,ATL,Dennis Schröder,9,621,16447,8806,1829,2907,.436,.338,.833,26.5,14.2,2.9,4.7,23.4,.068,-1.2,3.4
18,ATL,Shane Larkin,4,256,4880,1399,490,737,.422,.336,.777,19.1,5.5,1.9,2.9,4.4,.044,-2.4,-0.6
19,CLE,Sergey Karasev,3,95,1110,287,140,87,.395,.282,.842,11.7,3.0,1.5,0.9,0.8,.036,-3.4,-0.4
20,CHI,Tony Snell,9,601,13093,3672,1371,669,.431,.394,.846,21.8,6.1,2.3,1.1,18.5,.068,-2.0,-0.1
21,UTA,Gorgui Dieng,9,597,12267,4470,3427,784,.500,.367,.791,20.5,7.5,5.7,1.3,30.7,.120,0.4,7.3
22,BRK,Mason Plumlee,9,661,14769,5484,4378,1611,.584,.049,.557,22.3,8.3,6.6,2.4,44.2,.144,1.3,12.2
23,IND,Solomon Hill,9,448,9652,2453,1399,662,.388,.331,.797,21.5,5.5,3.1,1.5,11.9,.059,-2.1,-0.3
24,NYK,Tim Hardaway Jr.,9,586,15837,8149,1650,1095,.422,.358,.812,27.0,13.9,2.8,1.9,25.8,.078,-0.8,4.8
25,LAC,Reggie Bullock,9,434,9775,3382,1095,524,.427,.385,.842,22.5,7.8,2.5,1.2,18.1,.089,-0.8,3.0
26,MIN,Andre Roberson,7,307,6801,1382,1230,265,.473,.253,.468,22.2,4.5,4.0,0.9,12.6,.089,-0.6,2.3
27,DEN,Rudy Gobert,9,611,18301,7592,7119,807,.653,.000,.638,30.0,12.4,11.7,1.3,86.6,.227,4.0,27.8
28,SAS,Livio Jean-Charles,,,,,,,,,,,,,,,,,
29,OKC,Archie Goodwin,4,165,2396,1040,331,206,.429,.236,.700,14.5,6.3,2.0,1.2,1.1,.022,-3.0,-0.6
30,PHO,Nemanja Nedović,1,24,142,26,15,13,.205,.167,.875,5.9,1.1,0.6,0.5,-0.4,-.132,-10.0,-0.3
