Pk,Tm,Player,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
,,,,,,,,,,,,,,,,,,,
1,NOH,Anthony Davis,10,604,20805,14390,6163,1414,.515,.303,.794,34.4,23.8,10.2,2.3,91.3,.211,6.0,42.1
2,CHA,Michael Kidd-Gilchrist,8,446,10978,3750,2420,515,.474,.272,.715,24.6,8.4,5.4,1.2,21.0,.092,-1.8,0.6
3,WAS,Bradley Beal,10,645,22418,14231,2641,2701,.456,.372,.821,34.8,22.1,4.1,4.2,48.8,.104,1.7,21.0
4,CLE,Dion Waiters,8,419,11835,5505,1108,1163,.412,.346,.694,28.2,13.1,2.6,2.8,8.8,.036,-2.1,-0.4
5,SAC,Thomas Robinson,5,313,4204,1528,1507,190,.470,.000,.505,13.4,4.9,4.8,0.6,4.6,.053,-3.5,-1.6
6,POR,Damian Lillard,10,711,25835,17510,2976,4726,.437,.373,.893,36.3,24.6,4.2,6.6,94.1,.175,4.7,43.7
7,GSW,Harrison Barnes,10,747,23763,10566,3817,1376,.453,.379,.804,31.8,14.1,5.1,1.8,44.8,.091,-0.8,7.1
8,TOR,Terrence Ross,10,670,16626,7525,1907,841,.417,.361,.839,24.8,11.2,2.8,1.3,23.4,.068,-0.9,4.5
9,DET,Andre Drummond,10,718,21269,9938,9519,1003,.540,.132,.473,29.6,13.8,13.3,1.4,67.7,.153,1.3,17.7
10,NOH,Austin Rivers,10,655,15842,5741,1359,1438,.418,.349,.649,24.2,8.8,2.1,2.2,13.9,.042,-3.1,-4.2
11,POR,Meyers Leonard,9,447,7158,2502,1737,395,.482,.390,.809,16.0,5.6,3.9,0.9,15.5,.104,-1.4,1.1
12,HOU,Jeremy Lamb,10,573,11896,5805,2073,904,.439,.342,.857,20.8,10.1,3.6,1.6,26.8,.108,0.6,7.9
13,PHO,Kendall Marshall,4,160,3083,802,253,779,.399,.370,.611,19.3,5.0,1.6,4.9,1.0,.015,-3.5,-1.1
14,MIL,John Henson,8,445,8752,3383,2368,496,.540,.250,.568,19.7,7.6,5.3,1.1,20.7,.113,-0.5,3.4
15,PHI,Maurice Harkless,10,621,14019,4259,2198,572,.474,.320,.624,22.6,6.9,3.5,0.9,23.0,.079,-0.8,4.1
16,HOU,Royce White,1,3,9,0,0,0,.000,,,3.0,0.0,0.0,0.0,0.0,-.121,-16.9,0.0
17,DAL,Tyler Zeller,8,414,7254,2873,1820,367,.508,.286,.764,17.5,6.9,4.4,0.9,17.1,.113,-2.0,0.0
18,HOU,Terrence Jones,6,234,5562,2431,1334,238,.501,.297,.621,23.8,10.4,5.7,1.0,14.7,.127,0.5,3.6
19,ORL,Andrew Nicholson,5,285,4080,1700,857,126,.467,.321,.773,14.3,6.0,3.0,0.4,3.8,.045,-3.6,-1.6
20,DEN,Evan Fournier,10,645,18475,9222,1771,1675,.445,.381,.798,28.6,14.3,2.7,2.6,30.5,.079,-0.9,4.9
21,BOS,Jared Sullinger,5,269,6532,2893,2006,477,.436,.272,.723,24.3,10.8,7.5,1.8,15.3,.113,-0.4,2.7
22,BOS,Fab Melo,1,6,36,7,3,0,.500,,.250,6.0,1.2,0.5,0.0,0.0,.021,-7.6,-0.1
23,ATL,John Jenkins,6,171,2183,855,250,138,.441,.367,.847,12.8,5.0,1.5,0.8,3.0,.065,-1.9,0.1
24,CLE,Jared Cunningham,4,84,605,197,56,39,.347,.306,.674,7.2,2.3,0.7,0.5,0.2,.017,-5.7,-0.6
25,MEM,Tony Wroten,4,145,3076,1604,363,437,.413,.231,.647,21.2,11.1,2.5,3.0,-1.3,-.021,-3.4,-1.1
26,IND,Miles Plumlee,7,346,5658,1697,1562,178,.542,,.543,16.4,4.9,4.5,0.5,10.6,.090,-1.9,0.2
27,MIA,Arnett Moultrie,2,59,729,210,180,12,.547,,.667,12.4,3.6,3.1,0.2,1.7,.113,-2.8,-0.1
28,OKC,Perry Jones,3,143,1675,488,252,54,.420,.293,.660,11.7,3.4,1.8,0.4,1.7,.048,-3.5,-0.6
29,CHI,Marquis Teague,3,91,909,217,90,134,.343,.222,.661,10.0,2.4,1.0,1.5,-0.9,-.045,-6.5,-1.0
30,GSW,Festus Ezeli,3,170,2394,712,725,63,.513,,.557,14.1,4.2,4.3,0.4,5.9,.119,-2.0,0.0
