Pk,Tm,Player,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
,,,,,,,,,,,,,,,,,,,
1,POR,Greg Oden,3,105,2028,840,656,51,.574,,.658,19.3,8.0,6.2,0.5,7.3,.174,-0.4,0.8
2,SEA,Kevin Durant,14,939,34509,25526,6646,4032,.496,.384,.884,36.8,27.2,7.1,4.3,155.2,.216,6.8,76.4
3,ATL,Al Horford,15,950,30597,12989,7771,3144,.515,.360,.759,32.2,13.7,8.2,3.3,100.3,.157,2.9,37.9
4,MEM,Mike Conley,15,958,30619,14221,2872,5407,.439,.382,.820,32.0,14.8,3.0,5.6,86.8,.136,2.5,34.8
5,BOS,Jeff Green,14,1051,30463,13295,4502,1625,.448,.339,.806,29.0,12.6,4.3,1.5,50.3,.079,-1.4,4.8
6,MIL,Yi Jianlian,5,272,6038,2148,1339,192,.404,.333,.780,22.2,7.9,4.9,0.7,3.1,.025,-4.3,-3.5
7,MIN,Corey Brewer,13,819,18771,7097,2287,1250,.425,.284,.713,22.9,8.7,2.8,1.5,22.5,.058,-1.6,2.0
8,CHA,Brandan Wright,10,428,6949,2976,1560,199,.607,.000,.674,16.2,7.0,3.6,0.5,26.2,.181,2.3,7.5
9,CHI,Joakim Noah,13,672,18646,5881,6058,1907,.491,.000,.700,27.7,8.8,9.0,2.8,61.9,.159,2.5,20.9
10,SAC,Spencer Hawes,10,684,15541,5932,3893,1271,.457,.350,.716,22.7,8.7,5.7,1.9,22.6,.070,-1.1,3.4
11,ATL,Acie Law,4,188,2385,725,195,309,.413,.235,.778,12.7,3.9,1.0,1.6,1.6,.032,-3.9,-1.1
12,PHI,Thaddeus Young,15,1085,31778,13848,6345,2003,.502,.332,.663,29.3,12.8,5.8,1.8,68.9,.104,0.5,20.0
13,NOK,Julian Wright,4,231,3049,907,531,182,.499,.262,.584,13.2,3.9,2.3,0.8,3.9,.061,-0.5,1.2
14,LAC,Al Thornton,4,296,8274,3527,1233,353,.452,.293,.747,28.0,11.9,4.2,1.2,6.1,.035,-3.5,-3.2
15,DET,Rodney Stuckey,10,651,17890,8185,1912,2333,.423,.300,.824,27.5,12.6,2.9,3.6,28.7,.077,-0.9,4.9
16,WAS,Nick Young,12,720,16419,8194,1427,687,.418,.376,.836,22.8,11.4,2.0,1.0,18.6,.054,-2.2,-0.8
17,NJN,Sean Williams,4,137,1978,581,472,47,.511,.000,.624,14.4,4.2,3.4,0.3,3.0,.073,-3.1,-0.6
18,GSW,Marco Belinelli,13,860,19548,8370,1769,1429,.424,.376,.846,22.7,9.7,2.1,1.7,30.5,.075,-1.3,3.3
19,LAL,Javaris Crittenton,2,113,1853,595,276,201,.442,.231,.638,16.4,5.3,2.4,1.8,0.1,.002,-4.2,-1.0
20,MIA,Jason Smith,11,616,10029,3777,2075,453,.468,.333,.783,16.3,6.1,3.4,0.7,14.1,.067,-2.9,-2.4
21,PHI,Daequan Cook,6,328,5993,2114,703,243,.369,.359,.813,18.3,6.4,2.1,0.7,4.9,.039,-2.7,-1.1
22,CHA,Jared Dudley,14,904,20117,6633,2849,1394,.463,.393,.732,22.3,7.3,3.2,1.5,43.0,.103,0.2,11.0
23,NYK,Wilson Chandler,12,676,20287,8463,3574,1205,.443,.341,.770,30.0,12.5,5.3,1.8,29.0,.069,-1.3,3.5
24,PHO,Rudy Fernández,4,249,5965,2254,608,554,.399,.360,.840,24.0,9.1,2.4,2.2,14.2,.114,1.7,5.6
25,UTA,Morris Almond,3,38,361,119,46,12,.381,.292,.743,9.5,3.1,1.2,0.3,0.0,.005,-6.1,-0.4
26,HOU,Aaron Brooks,10,645,13439,6259,1079,1925,.413,.370,.837,20.8,9.7,1.7,3.0,19.2,.069,-1.2,2.7
27,DET,Arron Afflalo,11,762,20829,8198,2176,1386,.450,.386,.825,27.3,10.8,2.9,1.8,33.5,.077,-1.5,2.4
28,SAS,Tiago Splitter,7,355,6812,2816,1779,423,.555,.143,.697,19.2,7.9,5.0,1.2,25.3,.178,1.1,5.4
29,PHO,Alando Tucker,3,51,426,211,49,16,.423,.294,.783,8.4,4.1,1.0,0.3,0.4,.045,-4.5,-0.3
30,PHI,Petteri Koponen,,,,,,,,,,,,,,,,,
