"Notes"	"Month Day, Year"	"Month Day, Year Code"	Avg Daily Max Air Temperature (F)	Avg Daily Min Air Temperature (F)	Avg Daily Max Heat Index (F)
	"Apr 02, 1979"	"1979/04/02"	67.30	47.94	88.22
	"Apr 03, 1979"	"1979/04/03"	65.46	45.23	81.82
	"Apr 04, 1979"	"1979/04/04"	67.14	42.42	80.44
	"Apr 05, 1979"	"1979/04/05"	75.42	45.00	80.48
	"Apr 06, 1979"	"1979/04/06"	78.02	49.53	80.93
	"Apr 07, 1979"	"1979/04/07"	81.45	54.41	83.59
	"Apr 08, 1979"	"1979/04/08"	83.15	59.22	87.50
	"Apr 09, 1979"	"1979/04/09"	74.76	52.86	85.56
	"Apr 10, 1979"	"1979/04/10"	79.51	54.03	85.57
	"Apr 11, 1979"	"1979/04/11"	75.09	55.46	88.10
	"Apr 12, 1979"	"1979/04/12"	77.14	53.20	86.56
	"Apr 13, 1979"	"1979/04/13"	74.60	51.91	85.04
	"Apr 14, 1979"	"1979/04/14"	82.68	51.57	82.91
	"Apr 15, 1979"	"1979/04/15"	86.31	56.45	85.34
	"Apr 16, 1979"	"1979/04/16"	85.18	58.50	85.44
	"Apr 17, 1979"	"1979/04/17"	78.51	61.81	82.87
	"Apr 18, 1979"	"1979/04/18"	82.30	60.42	86.27
	"Apr 19, 1979"	"1979/04/19"	82.36	63.33	84.27
	"Apr 20, 1979"	"1979/04/20"	82.33	62.44	86.24
	"Apr 21, 1979"	"1979/04/21"	78.40	61.32	82.25
	"Apr 22, 1979"	"1979/04/22"	76.44	58.22	82.02
	"Apr 23, 1979"	"1979/04/23"	79.16	58.40	81.39
	"Apr 24, 1979"	"1979/04/24"	86.10	57.99	84.86
	"Apr 25, 1979"	"1979/04/25"	87.00	60.06	87.14
	"Apr 26, 1979"	"1979/04/26"	76.12	56.18	87.91
	"Apr 27, 1979"	"1979/04/27"	75.20	52.51	84.65
	"Apr 28, 1979"	"1979/04/28"	74.75	51.41	83.87
	"Apr 29, 1979"	"1979/04/29"	72.44	56.10	83.65
	"Apr 30, 1979"	"1979/04/30"	76.02	55.73	82.65
	"May 01, 1979"	"1979/05/01"	80.57	60.41	85.62
	"May 02, 1979"	"1979/05/02"	87.23	63.37	91.38
	"May 03, 1979"	"1979/05/03"	80.04	60.01	93.99
	"May 04, 1979"	"1979/05/04"	69.68	50.35	84.65
	"May 05, 1979"	"1979/05/05"	76.17	48.33	79.67
	"May 06, 1979"	"1979/05/06"	86.43	54.00	86.31
	"May 07, 1979"	"1979/05/07"	89.75	59.58	89.19
	"May 08, 1979"	"1979/05/08"	90.11	63.24	90.79
	"May 09, 1979"	"1979/05/09"	88.23	64.36	92.04
	"May 10, 1979"	"1979/05/10"	86.35	64.85	96.14
	"May 11, 1979"	"1979/05/11"	75.16	54.77	88.89
	"May 12, 1979"	"1979/05/12"	74.94	49.62	80.70
	"May 13, 1979"	"1979/05/13"	79.99	52.36	80.51
	"May 14, 1979"	"1979/05/14"	85.58	55.60	83.93
	"May 15, 1979"	"1979/05/15"	85.48	56.95	83.74
	"May 16, 1979"	"1979/05/16"	83.86	57.26	82.96
	"May 17, 1979"	"1979/05/17"	83.45	60.17	83.49
	"May 18, 1979"	"1979/05/18"	87.99	61.89	87.37
	"May 19, 1979"	"1979/05/19"	90.25	64.91	90.91
	"May 20, 1979"	"1979/05/20"	87.21	67.00	90.06
	"May 21, 1979"	"1979/05/21"	79.49	65.32	87.05
